Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
MOUNT GILEAD RD,MAYO PL,MOUNT GILEAD PL,46.0,51.67,82.224144,Fair
STATE ST,16TH ST NW,17TH ST NW,59.0,63.29,65.63712112,Fair
MAGNOLIA ST,ELECTRIC AVE,POSTELL ST,57.0,59.57,74.49864347,Fair
THURGOOD ST,CHICAMAUGA AVE,CERRO ST,51.0,53.03,45.02957034,Marginal
WIEUCA RD,STATEWOOD RD,GA 400,43.0,63.195,63.59020777,Fair
ATHAS ST,WELCH ST,MORELAND DR,54.0,54.47,68.18620849,Fair
EDGEWOOD AVE,DRUID CIR,EDGEWOOD AVE,60.0,71.85,81.85155702,Very Good
PINEDALE DR,SIMPSON TER,DETROIT AVE,57.0,52.065,65.73085576,Fair
CANTER RD,MERRICK DR,WEST ROXBORO RD,44.0,71.4,48.831,Fair
WOODBINE AVE,WHITEFOORD AVE,MONTGOMERY ST,48.0,54.17,46.14589308,Marginal
PEACHTREE PL,CRESCENT AVE,PEACHTREE ST,55.0,41.025,41.66488559,Poor
LUCKIE ST,SIMPSON ST,IVAN ALLEN JR BLVD,48.0,75.145,54.58472437,Good
AGNES JONES PL,WESTVIEW DR,FAIR ST,64.0,62.1,34.06523183,Marginal
RHOMBOID ST,DEFOOR AVE,CLAREMONT ST,57.0,94.6,84.0222,Excellent
WELLBORN ST SW,END AVE SW,WESTVIEW DR SW,,68.3,43.53775,Fair
MILLER REED AVE,MCDONOUGH BLVD,ELVIRA ST,37.0,35.265,46.39004744,Poor
WHITEHALL ST,HUMPHRIES ST,MCDANIEL ST,48.0,62.0,31.3,Marginal
WASHINGTON PL,NEWCASTLE ST,JOSEPH E LOWERY BLVD,52.0,47.515,53.91553459,Marginal
WASHINGTON ST,MITCHELL ST,MARTIN LUTHER KING JR DR,45.0,25.515,35.40579903,Very Poor
HABERSHAM RD,KNOLLWOOD DR,WEST ANDREWS DR,59.0,83.5,64.89375,Very Good
WILLIS MILL RD,MILL ACRES DR,WILSON DR,51.0,61.97,70.47099619,Fair
OMAHA RD,COLORADO TRL,SANTA FE TRL,47.0,83.7,65.09775,Very Good
NORTH HIGHLAND AVE,KENTUCKY AVE,GLEN ARDEN WAY,61.0,72.83,68.81522331,Good
HOLLYWOOD RD,MAIN ST,BROWNTOWN RD,56.0,39.395,68.0803883,Marginal
LYTLE PL NW,BARNES ST NW,LYLE PL NW,64.0,87.8,69.16961547,Very Good
CONIFER CIR,CONIFER CIR,CONIFER CIR,65.0,73.2,66.7839438,Good
TIBBS RD,SPRINGDALE RD,UNNAMED RD,65.0,40.665,49.96980716,Poor
HORTENSE WAY,NORTH ELIZABETH PL,NORTH EVELYN PL,62.0,49.195,54.18680806,Marginal
PLYMOUTH RD,CARROLL DR,ALMA ST,50.0,37.855,39.06127203,Poor
WILSON RD,SOUTHSIDE INDUSTRIAL PKWY,NORTH END,45.0,51.29,69.0588207,Fair
PACES FERRY RD,PACES FOREST RD,WEST PACES FERRY CT,50.0,28.1,52.15141775,Poor
GRESHAM AVE,PORTLAND AVE,GLENWOOD AVE,64.0,33.6,44.31905778,Poor
MCDANIEL ST,ROCKWELL ST,BERKELE ST,63.0,70.27,67.39161281,Good
PINEHURST TER,SW END,RICHLAND RD,49.0,48.035,58.32327752,Marginal
AUBURN AVE,HOGUE ST,HOWELL ST,52.0,59.425,69.93797697,Fair
HOLLYWOOD RD,HOLLYWOOD DR,GALILEE DR,55.0,57.855,66.21136726,Fair
MARKET ST NW,17TH ST NW,17TH 1/2 ST NW,56.0,65.535,59.56432587,Fair
HOPKINS ST,RALPH DAVID ABERNATHY BLVD,OAK ST,55.0,56.565,47.27383828,Marginal
SCHOEN ST,CHARLESTON AVE,RICHMOND AVE,47.0,76.87,68.69327035,Good
SUNRIDGE AVE,BANBERRY DR,BROMACK DR,64.0,74.02,74.57011259,Good
WHITE OAK AVE,CORDOVA ST,LEE ST,49.0,43.435,56.81703783,Marginal
MURPHY AVE,BLUFF ST,TIFT ST,46.0,81.4,62.631,Very Good
LILLIAN AVE,OAKHILL AVE,METROPOLITAN PKWY,42.0,39.465,50.92514771,Poor
NORTH HIGHLAND AVE,DREWRY ST,HIGHLAND VIEW,51.0,73.95,63.52399888,Good
FAIRBURN PL,ADKINS RD,ADKINS RD,60.0,90.7,81.16921374,Excellent
BOULDERCREST DR,EASTLAND RD,FAYETTEVILLE RD,45.0,87.9,68.91975,Very Good
GREENWOOD AVE NE,VEDADO WAY NE,VEDADO WAY NE,59.0,73.11,51.5451975,Good
COURTLAND ST NE,RALPH MCGILL BLVD NE,BAKER ST NE,60.0,67.225,41.58998437,Fair
TIGER FLOWERS CIR,TIGER FLOWERS DR,NE END,50.0,80.46,68.54573229,Very Good
LOGHAVEN DR,EAST SIMON TER,HUTTON PL,47.0,36.8,36.89294958,Poor
MONTEEL DR,MANGO CIR,MANGO CIR,44.0,46.035,49.88331942,Marginal
KIMBERLY RD,GRANT DR,MELVIN DR,61.0,75.7,78.96485687,Very Good
FOUNDRY ST,GRIFFIN ST,SUNSET AVE,42.0,18.6,28.73359086,Very Poor
INDIANA AVE,CONNECTICUT AVE,MATHEWS AVE,47.0,61.635,73.22124313,Good
VENETIAN DR,CAHABA DR,ALDER LN,38.0,60.335,45.10073639,Fair
VENETIAN DR,ALMA ST,LOCKWOOD DR,56.0,61.96,58.45825177,Fair
OLDKNOW DR,EAST HANDY DR,OZBURN RD,40.0,59.7,53.83970077,Fair
CEDAR ISLAND DR,BENJAMIN MAYS DR,BROWNLEE RD,54.0,75.8,66.77301648,Good
OLDKNOW DR,OZBURN RD,ALBERT ST,64.0,65.21,61.10437323,Fair
STOVALL TER,STOVALL TER,STOVALL TER,63.0,68.7,58.4267045,Good
BIXBY ST,DEARBORN ST,WARREN ST,55.0,65.145,46.37204795,Fair
LAMBERT DR NE,NILES PL NE,PIEDMONT RD NE,64.0,73.0,51.375,Good
RANDEE ST,BARRETT DR,REY ST,43.0,63.895,53.31274919,Fair
BEECHWOOD AVE,BEECHWOOD AVE,ALLENE AVE,62.0,52.32,74.40357778,Fair
FULTON WAY SE,MARTIN ST SE,CONNALLY ST SE,,59.6,29.98590849,Marginal
CRUMLEY ST SE,MARTIN ST SE,CRUMLEY ST SE,,85.345,72.43469318,Very Good
BOULEVARD LORRAINE,ESSEX AVE,MONTROSE AVE,47.0,35.4,55.0862922,Poor
CHATEAU CT,CHATEAU CT,CHATEAU DR,55.0,71.8,50.6598763,Fair
MATHIESON DR,MATHIESON PL,ALBERTA DR,40.0,50.685,40.83059193,Marginal
SANTA BARBARA DR,CHILTON DR,HAMILTON E HOLMES DR,54.0,69.4,70.13580375,Good
MARIETTA RD,ZADIE ST,ALMA ST,63.0,58.18,75.00208927,Fair
KILBURN DR NE,WIMBLEDON RD NE,DEAD END,63.0,22.425,54.17442207,Poor
EDGEWOOD AVE,WAVERLY WAY,PARK LN,60.0,13.975,42.82031777,Very Poor
RANDO LN,RANDO LN,ADAMS DR,61.0,75.2,70.52210337,Good
NORTH OLYMPIAN WAY,SOUTH GORDON ST,NORTH OLYMPIAN WAY,50.0,78.43,77.84243358,Very Good
CLEMENT DR,CLEMENT DR,LE CONTE HIGHWAY,48.0,68.1,43.17975,Fair
WHITEHALL ST,SPRING ST,SPRING ST,57.0,70.8,90.98614105,Very Good
WESLEY WALK,BARRINGTON CT,EAST END,41.0,60.975,51.35618001,Fair
1ST ST,FENWOOD ST,NORTH END,66.0,80.9,62.05975,Good
MATHEWSON PL,SELLS AVE,NORTH END,66.0,46.1,45.09799656,Marginal
ROXBORO RD,KINGSBORO RD,PRICHARD WAY,59.0,66.77,64.66324664,Good
HAWTHORNE ST,WALTHALL ST,EAST END,56.0,62.74,52.60600089,Fair
MOUNT GILEAD RD,MOUNT GILEAD PL,DALE LN,38.0,52.2,57.85667013,Marginal
WESLEY RD,VERNON RD,RIVERS RD,65.0,77.695,66.33649305,Good
GRANDVIEW AVE,EAST PACES FERRY RD,PEACHTREE RD,48.0,97.2,88.3928,Excellent
MOUNT PARAN RD,PACES FERRY RD,CLOUDLAND DR,50.0,34.345,69.49123331,Marginal
DURANGO RD,FAIRWAY CIR,COLORADO TRL,63.0,37.9,76.97180625,Marginal
WESLEY RD,PRIVATE,MARGARET MITCHELL DR,59.0,55.07,86.86810644,Good
FUNSTON ST,FEDERAL TER,CASANOVA ST,48.0,43.505,62.47367897,Marginal
HAMPTON AVE,SOUTH END,GLENWOOD AVE,43.0,46.1,45.88065507,Marginal
PACES FERRY RD,NANCY CREEK RD,RIDGEWOOD RD,63.0,45.3,55.42441897,Marginal
DELLWOOD DR,REDLAND RD,GOLF VIEW RD,42.0,59.945,58.76581215,Fair
DONNELLY AVE,ALLEGHENY ST,ATWOOD ST,50.0,50.93,81.81673767,Fair
LOCUST LN,REGIS RD,LOCUST LN,42.0,54.29,63.7245484,Fair
RIDGEWOOD RD,WEST PACES FERRY RD,WEST PACES FERRY RD,52.0,90.2,70.3118,Very Good
17TH ST,17 1/2 ST,20TH ST,52.0,87.9,82.84424976,Excellent
WESTSHIRE PL,11TH ST,NE END,38.0,63.585,38.12312381,Fair
WOODCREST AVE,HUNTINGTON RD,PALISADES RD,46.0,71.995,81.55527545,Very Good
DELLWOOD DR,MANOR RIDGE DR,RED VALLEY RD,38.0,66.705,77.82110453,Good
PRITCHARD WAY NE,LAKESIDE DR NE,ROXBORO RD NE,57.0,66.77,64.66324664,Good
JOHNSON RD NE,LENOX RD,BEECH VALLEY RD NE,67.0,69.96,71.47302729,Good
MONTGOMERY FERRY RD,PELHAM RD,WHITE OAK HOLLOW,58.0,68.77,65.74560098,Good
WESTVIEW DR,HOLDERNESS ST,HOLDERNESS ST,67.0,90.4,71.1072,Very Good
EASON ST,HOLLY RD,CHAPPELL RD,66.0,93.7,81.86355,Excellent
PINE VALLEY RD,ARGONNE DR,WEST PINE VALLEY RD,46.0,77.545,57.90332437,Good
SPRINGSIDE CT,WEST END,BROOKHAVEN SPRINGS DR,63.0,67.0,56.03133884,Fair
ERIN AVE,ATHENS AVE,METROPOLITAN PKWY,66.0,46.255,59.69474608,Marginal
METROPOLITAN AVE,PATTERSON AVE,MONUMENT AVE,47.0,69.68,76.28889888,Good
ARTHUR ST,IRA ST,GARIBALDI ST,60.0,85.64,66.97276,Very Good
BOLTON RD,COLLINS DR,COLLINS RD,59.0,10.43,37.55805273,Very Poor
HILLWOOD DR,BROOKDALE DR,EAST END,67.0,70.4,67.19954844,Good
MARY DELL DR SE,BOULDERCREST DR SE,FAYETTEVILLE RD SE,60.0,63.47,75.07302237,Good
WYLIE ST,VANNOY ST,DAHLGREN ST,57.0,68.84,72.76530963,Good
SELWIN AVE,WILMINGTON AVE,ARLINGTON AVE,65.0,37.425,57.5914057,Poor
DODD AVE,CENTRAL AVE,RALPH DAVID ABERNATHY BLVD,61.0,77.77,62.24983583,Good
WESTWOOD AVE,CLOVER ST,MONTEVISTA ST,54.0,84.7,66.08775,Very Good
AVONDALE AVE,AVONDALE AVE,TURPIN AVE,65.0,88.86,69.66951,Very Good
CHASTAIN ST,WOODWARD AVE,MCDONALD ST,64.0,59.815,66.28688405,Fair
GRANT ST SE,BIGGERS ST,MARTIN L KING JR DR SE,67.0,61.505,79.82347345,Good
MORELAND DR,WOODLAND AVE,WOODLAND AVE,46.0,22.8,49.61433959,Poor
PINE OAK DR,MONTEVISTA ST,SHIRLEY ST,54.0,70.31,51.00305322,Fair
STAR MIST DR,GOLDEN DAWN DR,CAMPBELLTON RD,57.0,47.435,54.18680806,Marginal
ADAIR AVE,RUPLEY DR,NORTH HIGHLAND AVE,57.0,67.745,73.85827364,Good
LITTLE ST,MARTIN ST,AMI ST,44.0,66.705,49.08368388,Fair
MILTON AVE,LAKEWOOD AVE,MCDONALD DR,61.0,38.185,71.08498696,Marginal
SARGENT PL,SARGENT DR,EAST RHINEHILL RD,41.0,68.255,74.20453431,Good
CHATTAHOOCHEE AVE,LOGAN CIR,LOGAN CIR,63.0,85.8,83.13327404,Very Good
WEYMAN AVE,RIDGE AVE,CREW ST,47.0,100.0,90.0,Excellent
FORREST PARK RD,I-285,HUTCHENS RD,46.0,67.78,52.3014147,Fair
QUEENSBURY LN,SE END,KINGSWOOD LN,67.0,70.59,47.4942975,Fair
WINDSOR ST SW,I-20 EB RAMP SW,WINDSOR ST SW,57.0,55.905,64.15277178,Fair
MARONA ST,WESLEY AVE,SCRUGGS CT,37.0,63.13,33.6410775,Marginal
CLIFTON RD NE,HOUSTON MILL RD NE,OLD BRIARCLIFF WAY,57.0,25.31,37.66844915,Very Poor
GARDENIA ST,BURBANK DR,STAFFORD ST,45.0,34.7,76.84433251,Marginal
BOHLER CT NW,BOHLER RD NW,DEAD END,56.0,97.7,88.91555,Excellent
DECKNER AVE,DESOTO AVE,BEATIE AVE,64.0,83.245,70.60312192,Very Good
HARDEE ST,FLORA AVE,LESLIE ST,58.0,83.4,64.791,Very Good
EAST CEDAR LN,CENTRA VILLA DR,PINEHURST DR,63.0,77.995,83.63017484,Very Good
PAVILLION ST,AUGUSTA PL,CHEROKEE AVE,38.0,32.675,42.11048487,Poor
BERNARD RD,SPINK ST,PAUL AVE,55.0,67.03,48.87553214,Fair
HILLS AVE,NORTHSIDE DR,PETERS ST,46.0,46.285,54.7999508,Marginal
WYMAN ST,ALDER CT,PAXON AVE,64.0,80.32,71.36629957,Very Good
PINE TREE DR,PINE TREE DR,BRENTWOOD TER,61.0,67.2,41.544,Fair
ABBOTT ST,PALMETTO AVE,BECKWITH ST,65.0,46.1,73.81779004,Fair
BECKWITH ST,LAWSHE ST,VINE ST,55.0,40.825,47.10418211,Poor
CASCADE AVE,BELMONTE DR,KENMORE ST,38.0,54.945,71.17144234,Fair
PELHAM ST,ETHERIDGE ST,SIMMONS ST,49.0,63.325,50.32927161,Fair
JOHN WESLEY DOBBS AVE,SAMPSON ST,EAST END,37.0,79.195,60.01779937,Good
BROADLAND RD,NORTHSIDE DR,NORTH BROADLAND RD,43.0,60.92,60.41329698,Fair
HILLCREST AVE,1ST AVE,DELANO DR,64.0,57.79,69.13965321,Fair
GLEN IRIS DR,BLVD PL,NORTH AVE,57.0,60.855,42.37773402,Marginal
1ST ST,COTTAGE GROVE AVE,HOSEA L WILLIAMS DR,59.0,57.135,64.53570322,Fair
NORWOOD RD,VILLE ST,RACHAEL ST,55.0,67.645,80.81015788,Good
MARKET ST NW,17TH 1/2 ST NW,18TH ST,67.0,65.535,59.56432587,Fair
DEKALB AVE NE,MORELAND AVE,JOSEPHINE ST,41.0,51.175,90.95063284,Fair
WOODBINE CIR,SOUTH END,WOODBINE AVE,52.0,67.045,61.48698979,Good
PARSONS ST,LAWTON ST,PARSONS PL,65.0,19.08,44.48019369,Very Poor
BASS ST,KELLY ST,MARTIN ST,55.0,78.8,59.524,Good
ELMWOOD RD,NORTH AVE,HASTY PL,57.0,91.6,75.5352,Excellent
FAIRVIEW RD,SPRINGDALE RD,OAKDALE RD,61.0,71.0,77.98987587,Good
NORTH CAMP CREEK PKWY SW,I-285,STONE RD,57.0,28.375,46.86147567,Poor
DELMOOR DR,ARLINGTON DR,DELMAR LN,58.0,70.4,61.61997811,Good
KATHERWOOD DR,MELROSE DR,SYLVAN RD,63.0,59.49,76.38923339,Good
EMERY PL,NORWOOD AVE,ROCKY FORD RD,50.0,70.52,47.37724,Fair
EAST AVE,PROSPECT PL,GLEN IRIS DR,63.0,71.395,48.82284937,Fair
MENTELLE DR,CHARLES ALLEN DR,7TH ST,63.0,67.57,46.08123763,Fair
BRANDON PARK PL,BEAVERBROOK DR,EAST END,54.0,80.1,61.11975,Good
LONETIA AVE,FRANCIS AVE,HOBART AVE,66.0,83.7,68.46106741,Very Good
MITCHELL ST,BRD ST,PEACHTREE ST,44.0,53.215,25.22947857,Poor
MEADOWDALE AVE NE,NOBLE DR NE,MEADOWDALE AVE NE,67.0,76.87,75.33354545,Very Good
WALNUT ST,PARSONS ST,UNKNOWN,56.0,60.985,58.73748354,Fair
SPRING ST,13TH ST,14TH ST,50.0,56.89,41.16082851,Marginal
25TH ST,ALDEN AVE,25TH ST,66.0,77.0,61.94950307,Good
HOLMES ST,TALLULAH ST,LEONA ST,58.0,73.9,66.54717073,Good
PARKSIDE DR,LAKEVIEW AVE,PEACHTREE WAY,64.0,83.5,64.89375,Very Good
MCLENDON AVE,CALLAN CIR,GLENDALE AVE,61.0,76.495,65.26340336,Good
PIEDMONT WAY NE,MONROE DR NE,ALLEN RD NE,45.0,19.945,55.58231111,Poor
CATHERINE ST,LEXINGTON AVE,MAYLAND AVE,59.0,32.725,70.66157163,Marginal
LUCKIE ST,MERRITTS AVE,NORTH AVE,48.0,67.81,58.44998247,Fair
DURANT PL,3RD ST,4TH ST,64.0,89.7,71.55829347,Very Good
GLENROSE CIR,LATONA DR,LONE OAK AVE,39.0,63.7,73.76744098,Good
VALLEY RIDGE DR,REVERE RD,GLEN VIEW DR,63.0,39.945,61.58610896,Marginal
CARROLL DR,MARIETTA RD,ANNIE ST,62.0,73.11,76.77068626,Good
EASTRIDGE RD,AVON AVE,CAHABA DR,54.0,65.73,68.66639895,Good
BUTNER RD,COUNTY LINE RD,NISKEY LAKE RD,46.0,36.255,67.38858862,Marginal
IVANHOE DR,MOORES MILL RD,IVANHOE DR,44.0,68.07,79.30384195,Good
CASCADE KNOLLS DR,BOISE TRL,TWIN TENDRILS,66.0,53.3,58.43672981,Marginal
PEACHTREE ST,5TH ST,6TH ST,44.0,38.7,43.11419885,Poor
PIEDMONT AVE,13TH ST,14TH ST,64.0,47.835,61.14321128,Marginal
PIEDMONT AVE,13TH ST,14TH ST,64.0,47.835,61.14321128,Marginal
SPRING CREEK,SPRING PARK DR,EAST END,65.0,73.95,73.61505882,Good
ANDREW YOUNG INTERNATIONAL BLVD,SPRING ST,PEACHTREE ST,45.0,33.67,27.80087722,Poor
SWIMS VALLEY DR,WEST END,GARMON RD,46.0,75.28,62.1787591,Good
WESLEY DR,WOODLEY DR,WELLESLEY DR,39.0,70.8,61.12181114,Good
SHELTON AVE,TIFT AVE,METROPOLITAN PKWY,61.0,55.85,56.77876554,Fair
CHAMBERLAIN ST,WILLIAM HOLMES BORDERS SR DR,JACKSON ST,46.0,63.195,83.53573071,Good
TETON AVE,SOUTH END,TETON AVE,40.0,68.005,69.86870296,Good
NORTH HIGHLAND AVE,LOS ANGELES AVE,KENTUCKY AVE,62.0,70.7,52.66060971,Fair
ETHEL ST,HIRSCH ST,TUMLIN ST,67.0,31.1,36.50501458,Poor
ESTES DR,ARROW ST,SYLVAN RD,52.0,78.3,87.07759113,Very Good
POLAR ROCK TER,POLAR ROCK PL,POLAR ROCK RD,60.0,24.3,60.03972934,Poor
GEARY DR,NORTH GARDEN LN,LOFTON RD,46.0,64.6,40.12601579,Fair
MANFORD RD,ERIN AVE,EAST END,60.0,66.38,61.64048278,Fair
ELM ST,CAMERON M ALEXANDER BLVD,MELDRUM ST,50.0,2.895,34.34912879,Very Poor
CENTRAL AVE SW,I-20,MEMORIAL DR SW,37.0,52.07,35.88895316,Marginal
BOLLINGBROOK DR,MOUNT AIRY DR,EDGEWATER DR,63.0,63.715,57.02828675,Fair
9TH ST NW,HEMPHILL AVE NW,MCMILLAN ST,59.0,63.0,66.40419323,Fair
WYMAN ST,STANWOOD AVE,HOSEA L WILLIAMS DR,39.0,57.735,45.78280436,Marginal
VIRGINIA PL,KINSEY CT,PINE CIR,64.0,82.8,65.12567352,Very Good
REMBRANDT RD,FOXCROFT RD,NORTH END,62.0,81.97,70.81057212,Very Good
JONES AVE,ELM ST,VINE ST,44.0,37.505,46.38355032,Poor
DELTA PL,DEKALB AVE,DELTA PL,61.0,42.3,72.78098533,Marginal
ROCK SPRINGS RD NE,FLAGLER AVE NE,MONROE DR NE,47.0,46.13,55.57696673,Marginal
MARIETTA BLVD,BOLTON PL,BOLTON DR,44.0,49.73,79.67955322,Fair
17TH ST,VILLAGE ST,MECASLIN ST,64.0,89.1,69.84975,Very Good
NELSON ST,WALKER ST,MANGUM ST,46.0,87.0,68.175,Very Good
STONE RD,ASBURY LN,FAIRBURN RD,46.0,76.26,73.14525096,Very Good
CLEBURNE AVE,NORTH HIGHLAND AVE,SEMINOLE AVE,46.0,53.45,51.24554589,Marginal
ERIN AVE,HARTFORD AVE,FAIRBANKS ST,44.0,67.865,84.30407957,Good
CONFEDERATE AVE,ALLOWAY PL,WOODLAND AVE,46.0,60.27,77.08174494,Good
THE PRADO,WESTMINSTER DR,SOUTH PRADO,59.0,38.945,54.06860464,Poor
PACES FERRY RD,WEST PACES FERRY RD,NORTHSIDE DR,51.0,87.6,68.676,Very Good
DARTMOUTH DR,CORNELL BLVD,LA SALLE WAY,42.0,19.9,35.08739167,Very Poor
SPENCE AVE,TUPELO ST,ARBOR AVE,49.0,48.82,71.93401789,Fair
LINDRIDGE DR,LINDRIDGE WAY,LINDRIDGE WAY,67.0,56.045,61.84914035,Fair
COLLIER DR,LINKWOOD RD,VALLEY HEART DR,38.0,46.405,92.18766642,Fair
SANTA FE TRL,TUCSON TRL,OMAHA RD,59.0,64.12,68.22597369,Good
WHITEHALL ST,MCDANIEL ST,WHITEHALL TER,48.0,62.0,31.3,Marginal
AUBURN AVE,WILLIAM HOLMES BORDERS SR DR,JACKSON ST,67.0,74.51,53.6584975,Good
VASSAR ST SW,WASHINGTON ST SW,PULLIAM ST SW,49.0,32.9,61.74318669,Poor
MERRILL AVE,CORDOVA ST,LAWTON ST,43.0,72.97,51.3284775,Good
DODD AVE,FORMWALT ST,PRYOR ST,52.0,46.555,47.7360607,Marginal
DECATUR ST,MARIETTA ST,PARK PL,48.0,86.4,67.656,Very Good
MONTEVISTA ST,PINE OAK DR,ROGERS AVE,59.0,48.175,53.33007592,Marginal
HUTCHENS RD,HUTCHENS RD,HUTCHENS RD,40.0,82.2,75.8964018,Very Good
WESTWOOD AVE,MONTEVISTA ST,SHIRLEY ST,55.0,53.13,64.01967161,Fair
FOUNTAIN DR,FOUNTAIN DR,FOUNTAIN DR,55.0,83.3,100.0,Excellent
ATLANTIC DR,HUNERKOPF ST,14TH ST,67.0,88.7,87.22334876,Excellent
ROCK SPRINGS RD NE,ROCK SPRINGS CT NE,KIMBERLY LN,46.0,45.47,56.59225669,Marginal
WELLS ST SW,RALPH D ABERNATHY BLVD SW,BLUFF ST SW,65.0,52.91,66.19081621,Fair
ROXBORO DR,WEST ROXBORO RD,NE END,60.0,75.6,55.236,Good
VELTRE CIR,VELTRE TER,BENJAMIN MAYS DR,65.0,74.06,58.57262207,Good
EMERSON AVE,EASTWOOD AVE,EMERSON AVE,52.0,79.2,64.0479088,Good
BLAYTON CIR,HOWARD ST,PENELOPE ST,58.0,58.515,34.13315624,Marginal
BASS ST,SMITH ST,IRA ST,44.0,47.42,49.29925869,Marginal
PAINES AVE,JOSEPH E BOONE BLVD,PROCTOR ST,51.0,71.5,68.38992917,Good
FIELDING LN,KEATS DR,SHELLEY DR,45.0,60.91,59.09631508,Fair
QUEEN ST,OGLETHORPE AVE,RALPH DAVID ABERNATHY BLVD,40.0,74.0,65.80503452,Good
VIRGINIA AVE,ARCADIA ST,DE LEON ST,61.0,77.995,68.70822369,Good
RIADA DR,WELLESLEY DR,WESLEY DR,43.0,47.785,59.99896614,Marginal
METROPOLITAN AVE,HAAS AVE,PATTERSON AVE,38.0,48.055,75.86400747,Fair
JOE LOUIS DR,CARVER DR,TIGER FLOWERS DR,61.0,43.4,63.70744831,Marginal
BUTLER WAY,WALES AVE,NORTH END,44.0,67.1,41.72480029,Fair
HERMER CIR,TRIBBLE LN,TRIBBLE LN,66.0,64.3,68.46818919,Good
THURGOOD ST,CERRO ST,ROCKMART DR,52.0,58.645,52.3643206,Fair
PARSONS ST,ABBOTT ST,JOSEPH E LOWERY BLVD,59.0,69.67,45.9362775,Fair
MELANTE DR,NORTHROPE DR,LINDBERGH DR,64.0,75.97,77.13394234,Very Good
IVAN ALLEN JR BLVD,VENABLE ST,MCAFEE ST,49.0,5.205,60.45930072,Very Poor
WELLINGTON WALK,VICTORIA PARK,SAVILLE ST,58.0,79.27,71.16182563,Very Good
PARKSIDE CT,LAKE FORREST DR,EAST END,54.0,65.85,76.63623235,Good
HOLDERNESS ST,RALPH DAVID ABERNATHY BLVD,EGGLESTON ST,61.0,64.43,61.1458777,Fair
WELLINGTON ST,MOZLEY PL,MARTIN LUTHER KING JR DR,64.0,68.995,77.67405707,Good
LISBON DR,OANA ST,BREWER BLVD,37.0,30.5,61.75788331,Poor
GRANT COVE PL SE,GRANT ST SE,DEAD END,65.0,54.05,72.9065202,Fair
IVYDALE DR,DODSON DR,MARVIN LN,63.0,75.91,55.6737975,Good
PAUL AVE,BOLTON RD,FORREST AVE,63.0,78.3,69.12604248,Very Good
GLEN ARDEN DR,GLEN ARDEN DR,GLEN ARDEN DR,64.0,25.02,41.70614523,Poor
DELOWE PL SW,BEATRICE CT SW,DERBY DR SW,39.0,33.0,67.70380516,Poor
ANGIER AVE,PARKWAY DR,LATTA ST,65.0,72.48,61.0293797,Good
POWERS FERRY RD,ROSWELL RD,PUTNAM DR,46.0,67.72,63.91738855,Good
BEVERLY RD,AVERY DR,BEVERLY RD,,36.7,37.39498501,Poor
THORNTON ST,ARTHUR LANGFORD JR PL SW,AIKEN ST,44.0,89.7,70.28775,Very Good
WARWICK ST,GLENWOOD PL,PORTLAND AVE,46.0,76.19,61.22686278,Good
MEADOR AVE,SWAN DR,SCHELL RD,57.0,38.03,72.1961914,Marginal
BOWEN CIR SW,BOWEN CIR SW,BOWEN CT SW,62.0,55.59,42.70100804,Marginal
ELLENDALE LN,SCOTTRIDGE DR,HARVEL DR,55.0,36.845,59.76608974,Poor
MONTGOMERY ST,WOODBINE AVE,MERIDIAN ST,60.0,67.095,64.52798824,Good
MARNE DR,ARGONNE DR,VERDUN DR,46.0,59.935,43.42623658,Marginal
MARNE DR,ARGONNE DR,VERDUN DR,46.0,59.935,43.42623658,Marginal
WESTVIEW DR SW,RALPH D ABERNATHY BLVD SW,RACINE ST SW,63.0,93.2,80.5208,Excellent
INTERLOCHEN DR,LAKE FORREST DR,ROSWELL RD,37.0,49.3,68.5305246,Fair
SUTTON ST,EAST LAKE TER,1ST ST,51.0,65.99,62.8629239,Fair
LORIDANS CIR,LORIDANS DR,PEACHTREE DUNWOODY RD,57.0,58.84,67.41157052,Fair
DARLINGTON CIR,DARLINGTON RD,DARLINGTON CIR,62.0,57.53,67.58206591,Fair
HOWELL MILL RD,ROBERTA DR,WESTON PL,42.0,58.38,50.98529711,Fair
ALFRED RD,SIDE ST,ADKINS RD,54.0,94.4,83.5712,Excellent
SHORELAND DR SW,PAMELA LN,DEAD END,52.0,30.1,70.05094479,Poor
MERRITTS AVE,MCAFEE ST,MERRITTS AVE,51.0,57.3,40.11413325,Marginal
THURMOND ST,SUNSET AVE,ELM ST,55.0,26.885,56.07014077,Poor
MCLENDON AVE,ARIZONA AVE,LEONARDO AVE,64.0,75.37,64.35867982,Good
BROADLAND RD,NORTH BROADLAND RD,BROADLAND CT,50.0,60.92,60.41329698,Fair
GRANDVIEW AVE,PEACHTREE AVE,PHARR RD,61.0,78.5,59.14375,Good
PRYOR ST SW,I-20,RAWSON ST SW,50.0,25.095,38.24083096,Very Poor
FRIAR TUCK RD,LITTLE JOHN TRL,LITTLE JOHN TRL,62.0,60.01,61.13143578,Fair
CURRAN ST NW,8TH ST NW,9TH ST NW,49.0,23.745,46.01398857,Poor
LITTLE ST,FRASER ST,REED ST,42.0,68.28,67.66549861,Good
THORNTON ST,LINCOLN ST,THORNTON PL,47.0,21.755,54.69968144,Poor
